"","data_set","unit","prediction_horizon","model","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","multiv_log_score"
"7337","noroBE",11,1,"naive",356,9.40172527736003,32.7049982697939,5,13,1,23,12,2.98754703305983,2.69046104159209
"7338","noroBE",11,2,"naive",356,10.6250371465676,40.3870790283454,6,14,2,26,10,2.74493775291083,2.76613348468162
"7339","noroBE",11,3,"naive",356,12.8081161039815,56.0567427294309,7,17,2,31,14,3.04648049907182,3.15867168104743
"7340","noroBE",11,4,"naive",356,13.1245680390316,58.5366953414176,8,17,2,31,10,2.83733626976066,3.12427441675608
"7341","noroBE",12,1,"naive",356,6.54169875918578,17.8236155401972,3,9,1,17,7,2.44652679246496,2.69046104159209
"7342","noroBE",12,2,"naive",356,7.39287633572732,21.8017055097327,4,10,1,19,10,2.87085364933646,2.76613348468162
"7343","noroBE",12,3,"naive",356,8.91185763816002,29.8500068260349,5,12,1,22,17,3.94491721555556,3.15867168104743
"7344","noroBE",12,4,"naive",356,9.13204416454623,31.1176185188682,5,12,1,23,8,2.57325905691201,3.12427441675608
"7345","noroBE",1,1,"naive",357,7.06172816891667,20.1951851514463,4,10,1,18,8,2.57104576084699,2.76588870175518
"7346","noroBE",1,2,"naive",357,8.51323058349219,27.6005902479668,5,11,1,21,11,2.91828666975085,3.1576983156519
"7347","noroBE",1,3,"naive",357,8.72320289382507,28.7637240720521,5,12,1,22,10,2.76573063258726,3.1232159603441
"7348","noroBE",1,4,"naive",357,9.19030263799887,31.4344974500828,5,12,1,23,13,3.15599733026034,2.97115679218771
"7349","noroBE",2,1,"naive",357,5.03854025334506,11.7245426660436,3,7,0,13,3,2.02404981575057,2.76588870175518
"7350","noroBE",2,2,"naive",357,6.07418665161024,15.7912118749373,3,8,0,16,4,2.17200410341027,3.1576983156519
"7351","noroBE",2,3,"naive",357,6.2240018119214,16.4262641049033,3,8,0,16,1,2.8269439011704,3.1232159603441
